Lead ID,Lead Create Date,Lead Status,Follow Up Count,Group Connected,Sales Agent,Customer Rep,Latest Coverage Purchase Date,Latest Policy,Student Category,Pervious Policy
2Ew4Gw2Zy9Ug,8/19/2024,Enrolled,2,No,,Customer Rep 3,8/29/2024,24-25 Prime 500,Undergraduate,23-24 Prime 500
2Bi3Kz9Hm3Mw,8/20/2024,Enrolled,1,No,,Customer Rep 1,8/20/2024,24-25 Prime 500,Graduate,
2Qd6Az4Aq3Ql,8/20/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,8/20/2024,24-25 Prime 100,OPT,
2Xk9Zd1Pe2Pl,8/20/2024,Enrolled,1,No,,Customer Rep 1,8/20/2024,24-25 Elite,Undergraduate,
7Kc1It6Un2Qi,8/20/2024,Enrolled,1,Yes,,Customer Rep 2,8/20/2024,24-25 Supreme,OPT,
4Sz2Ci0Pv7Hl,8/20/2024,Enrolled,2,Yes,Sales 2,Customer Rep 3,8/26/2024,24-25 Prime 500,OPT,
2Tk0Lb0Ai5Xe,8/20/2024,Enrolled,2,Yes,,Customer Rep 2,8/27/2024,24-25 Prime 100,OPT,23-24 Prime 100
6Pd8Fm6Hc8Bb,8/21/2024,Enrolled,1,No,,Customer Rep 1,8/21/2024,24-25 Prime 100,OPT,
3Cy6Tu6Si5Ba,8/21/2024,Enrolled,4,No,,Customer Rep 2,11/26/2024,24-25 Prime 500,OPT,
4Tq0Nw4Ww8Wh,8/22/2024,No Response,6,No,,Customer Rep 2,,,Undergraduate,
6Tk9Mk9Ab5Xi,8/26/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/11/2024,24-25 Prime 500,Undergraduate,
9Fi6Bt9Oa1Wn,8/26/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,8/17/2024,24-25 Supreme,OPT,
2Dt8Wo3Uc0Po,8/26/2024,Enrolled,1,No,,Customer Rep 2,8/17/2024,24-25 Supreme,OPT,
7Pe2Wk1Xb7Jh,8/26/2024,Enrolled,1,Yes,Sales 1,Customer Rep 1,8/24/2024,24-25 Prime 500,Graduate,23-24 Prime 100
7Mc1Kp9Pe7Nq,8/26/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/25/2024,24-25 Prime 500,OPT,
7Eq6Qw4Xw5Vu,8/26/2024,Enrolled,1,No,,Customer Rep 2,8/25/2024,24-25 Prime 500,Undergraduate,
8Xk7Jw9Tb7Uy,8/26/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,8/26/2024,24-25 Prime 500,Undergraduate,23-24 Supreme
2Sf5Qi2Wj6Nz,8/26/2024,Enrolled,1,No,,Customer Rep 1,8/31/2024,24-25 Prime 500,OPT,
5Bu1Xc0Ay8Ro,8/27/2024,Enrolled,1,No,,Customer Rep 2,8/24/2024,24-25 Prime 500,Graduate,
6Eg9Im7Sl3Nj,8/27/2024,Enrolled,1,No,,Customer Rep 1,8/25/2024,24-25 Prime 100,Undergraduate,
2Bi2Uc5Or6Tj,8/27/2024,Enrolled,1,No,,Customer Rep 1,8/26/2024,24-25 Prime 100,J1,
2Gc4Ej7Sy3Cv,8/27/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,8/26/2024,24-25 Prime 100,Undergraduate,23-24 Supreme
3Gn4Zt6Wd1Yq,8/27/2024,Enrolled,1,No,,Customer Rep 1,8/27/2024,24-25 Prime 500,Undergraduate,23-24 Prime 500
9Cl5Fh9Fi1Kx,8/27/2024,Enrolled,1,No,,Customer Rep 1,8/27/2024,24-25 Prime 500,Graduate,
8Zt4Qi2Um2Zs,8/27/2024,Enrolled,1,Yes,,Customer Rep 2,8/27/2024,24-25 Prime 500,Graduate,
