Lead ID,Lead Create Date,Lead Status,Follow Up Count,Group Connected,Sales Agent,Customer Rep,Latest Coverage Purchase Date,Latest Policy,Student Category,Pervious Policy
9Qd3Pg7Kk2Rl,9/11/2024,Enrolled,1,No,Sales 1,,8/25/2024,24-25 Prime 500,Graduate,
6Js6Am2Ts9Gn,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/26/2024,24-25 Prime 100,Graduate,
4Gu7En9Sv3Ba,9/11/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/26/2024,24-25 Supreme,OPT,
6Qc9Kb3Kz7Ko,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/27/2024,24-25 Prime 500,Undergraduate,
6Bh8Uc0Ch9Vo,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/27/2024,24-25 Prime 100,Graduate,
3Pk1Zl1Lc5Ky,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/28/2024,24-25 Prime 100,Graduate,
1Tx2Qv4Gu4Uj,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/29/2024,24-25 Prime 100,Graduate,
7Uq7Rn7Eg1Wm,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/30/2024,24-25 Elite,OPT,
1Mx7Ig8Us4Jc,9/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/31/2024,24-25 Elite,Graduate,
1Nn7Xb3Fp1Qv,9/11/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,9/1/2024,24-25 Prime 500,OPT,
7Tf9Iv4Ax9Wm,9/11/2024,Enrolled,4,No,Sales 1,,11/24/2024,24-25 Prime 100,Graduate,
8Tr9Yy6Dq1Dh,9/11/2024,No Response,5,No,Sales 1,,,,Graduate,
0Zg9Mm3Jm1Qg,9/11/2024,No Response,4,No,Sales 1,,,,OPT,
1Tz5Re3Yg5Ze,9/11/2024,No Response,4,No,Sales 1,,,,Undergraduate,
0Aq9Bz3Fo5Ve,9/11/2024,No Response,5,No,Sales 2,,,,Undergraduate,
7Qu7Lq1Kk1Bj,9/11/2024,No Response,6,Yes,Sales 1,Customer Rep 2,,,Undergraduate,
5Oq9Qv7Bf1Ze,9/11/2024,No Response,6,No,Sales 1,,,,Undergraduate,
5Wc5Io0Rn0Ea,9/11/2024,No Response,5,No,Sales 2,,,,Undergraduate,
3Aa2St4Yw9Pz,9/11/2024,No Response,5,No,Sales 1,,,,Graduate,
4Qi6Xt1Bv6Rl,9/11/2024,No Response,6,No,Sales 1,,,,Undergraduate,
6Gy8Wy0Ji2Uj,9/11/2024,No Response,6,Yes,Sales 1,,,,Undergraduate,
0Ga3Ts0Nm9Sy,9/11/2024,No Response,6,No,Sales 1,,,,Undergraduate,
0Tw5Tg0Uj2Gg,9/11/2024,No Response,5,Yes,Sales 2,Customer Rep 1,,,Undergraduate,
5Td4Za3Ro6Zu,9/11/2024,No Response,6,No,Sales 2,,,,Graduate,
1Nc1Qm2Mv8Sr,9/11/2024,No Response,5,No,Sales 2,,,,OPT,
8Qq4Rd6Mb8Si,9/11/2024,No Response,6,No,Sales 2,,,,Graduate,
6Kv4Zr0Lo4Nk,9/11/2024,No Response,5,No,Sales 1,,,,Undergraduate,
3Im4Mj0Xh0Gf,9/12/2024,Enrolled,1,No,,Customer Rep 2,9/1/2024,24-25 Supreme,Graduate,
2Xj4Kh2Qf5Ka,9/12/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,9/12/2024,24-25 Prime 500,Graduate,
7Wg2Ul5Xv5Ur,9/12/2024,No Response,6,No,,Customer Rep 2,,,Undergraduate,
7Zy0Gq8Xb7Hc,9/13/2024,Enrolled,1,No,,Customer Rep 1,8/23/2024,24-25 Global Care Plus,Graduate,
2Zt5Uj5Ci7Ls,9/13/2024,Enrolled,1,No,,Customer Rep 1,8/31/2024,24-25 Prime 500,Undergraduate,
0Ec4Vj4Eb0Mf,9/13/2024,No Response,5,No,,Customer Rep 1,,,J1,
8Ad9Qq5Vp3Zk,9/16/2024,Enrolled,1,No,,Customer Rep 1,9/11/2024,24-25 Prime 100,Undergraduate,
3Qj9Ay7Bb8Cy,9/17/2024,Enrolled,1,No,,Customer Rep 2,7/24/2024,24-25 Prime 100,Undergraduate,
0Zp0Qc2Dh6Uy,9/17/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,8/16/2024,24-25 Prime 500,J1,
1At0Lf5Wy7Kc,9/17/2024,Enrolled,1,No,,Customer Rep 2,9/17/2024,24-25 Prime 100,Undergraduate,
7Sh4Cs7Fi6Kl,9/18/2024,Enrolled,1,Yes,,Customer Rep 2,8/24/2024,24-25 Prime 100,Graduate,
8Hq9Yx8Jl0Rd,9/19/2024,Enrolled,1,No,Sales 1,,8/8/2024,24-25 Prime 100,OPT,
2Jk2Ts2Av6Ts,9/19/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,8/18/2024,24-25 Prime 500,Undergraduate,23-24 Prime 500
8Ju0St5Ve4Eq,9/19/2024,Enrolled,1,No,Sales 1,,8/22/2024,24-25 Elite,OPT,
2Lu6Ta3Hd9Fs,9/19/2024,Enrolled,1,Yes,Sales 1,Customer Rep 1,8/27/2024,24-25 Prime 500,Undergraduate,
0Rp5Wm0Ni1Qc,9/19/2024,Enrolled,1,No,Sales 1,,8/28/2024,24-25 Prime 500,J1,
4Ws1Di3Jo7Wc,9/24/2024,Enrolled,1,No,,Customer Rep 1,8/18/2024,24-25 Prime 100,OPT,
7Tj6Zr2Fg1Ry,9/25/2024,Enrolled,1,No,,Customer Rep 1,6/25/2024,24-25 Prime 500,Undergraduate,
9Qq5Xg1Hs4Mv,9/26/2024,No Response,6,No,,Customer Rep 1,,,Graduate,
1Gh2Jl5Ub6Yn,9/28/2024,Enrolled,1,No,,Customer Rep 2,9/28/2024,24-25 Prime 500,Graduate,
6Iy4Xl9Fc8Ae,9/28/2024,Enrolled,1,No,,Customer Rep 1,9/28/2024,24-25 Prime 100,Undergraduate,23-24 Elite
1Co0Fd3Jc3Vu,9/30/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,9/27/2024,24-25 Prime 100,Undergraduate,
7Wu3Ee0Az4Pv,10/1/2024,Enrolled,1,No,,Customer Rep 2,8/13/2024,24-25 Elite,Graduate,
6Hh1Ny5Ar6Fa,10/1/2024,Enrolled,1,No,,Customer Rep 2,9/28/2024,24-25 Prime 500,OPT,
9Jy0Dg5Qi5Hc,10/3/2024,Enrolled,1,No,,Customer Rep 1,8/24/2024,24-25 Prime 500,Undergraduate,23-24 Supreme
4Gk9Mm4Hn9Jq,10/7/2024,Enrolled,1,No,,Customer Rep 2,7/11/2024,24-25 Prime 500,OPT,
0Tc3Qb7Si0Og,10/7/2024,Enrolled,1,No,,Customer Rep 2,7/20/2024,24-25 Prime 500,OPT,
5Lc6Yd3Tp3Hb,10/8/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/26/2024,24-25 Prime 500,OPT,
5Mf2Qb4Mb8Bu,10/8/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/30/2024,24-25 Prime 500,OPT,
3Ny8Nv9Jx4Yn,10/8/2024,Enrolled,5,No,,Customer Rep 2,11/19/2024,24-25 Prime 100,Graduate,
4No9Sn2Sx7Rk,10/8/2024,Lost,5,No,,Customer Rep 1,,,J1,
5Ed5Cd0Zd2Xd,10/9/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,7/14/2024,24-25 Global Care Plus,J1,
1Cb9Mi8Yx2Gv,10/9/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,8/15/2024,24-25 Prime 500,J1,
4Fy6Nm0Kg0Pa,10/9/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,8/15/2024,24-25 Prime 500,Graduate,
3Ru0Jj0At2Hn,10/9/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/19/2024,24-25 Prime 500,OPT,
3Eb2Ws9Yq1Ca,10/9/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,8/19/2024,24-25 Prime 500,Undergraduate,
5Hm5Dy7Ow6Dq,10/9/2024,Enrolled,1,No,,Customer Rep 2,8/30/2024,24-25 Prime 500,OPT,
0Qm0Dd3Vo4Uh,10/9/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,9/28/2024,24-25 Prime 500,Undergraduate,
9Qa6Dg2Ks9Ev,10/10/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,7/14/2024,24-25 Prime 500,Undergraduate,
8Nc3Yg5Ay2Ri,10/10/2024,Enrolled,1,No,,Customer Rep 2,8/16/2024,24-25 Prime 500,Undergraduate,23-24 Prime 500
6Hr5Dx1Ts3Un,10/10/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,8/31/2024,24-25 Prime 500,Undergraduate,
9Fe4Tn4Gd5Dl,10/11/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,8/23/2024,24-25 Supreme,Graduate,
7Sw3Ni3Kx2Ku,10/14/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,8/21/2024,24-25 Elite,Graduate,
4Er2Hm1Px1Zb,10/14/2024,Enrolled,1,No,,Customer Rep 1,8/23/2024,24-25 Prime 100,Undergraduate,
7Qo5Cz5Lf4Xw,10/14/2024,Enrolled,1,Yes,Sales 1,Customer Rep 1,9/28/2024,24-25 Prime 100,Undergraduate,
5Mg4Kl8Hp5Uz,10/14/2024,Enrolled,5,Yes,,Customer Rep 2,11/15/2024,24-25 Prime 100,J1,
6Ww1Hg6Sm9Tt,10/14/2024,No Response,5,No,,Customer Rep 3,,,Graduate,
9Cw6Xf7Tz8Ew,10/17/2024,No Response,5,No,,Customer Rep 2,,,Undergraduate,
2Za9Ie9Ux5Cf,10/29/2024,Enrolled,1,Yes,,Customer Rep 2,8/29/2024,24-25 Prime 100,Undergraduate,23-24 Supreme
7Xi7Tn7Ca3Fz,11/3/2024,Enrolled,2,No,,Customer Rep 2,8/21/2024,24-25 Prime 100,J1,
5Uh4Lm7Ng0Nt,11/5/2024,Enrolled,1,No,,Customer Rep 2,8/29/2024,24-25 Prime 100,Graduate,
0Xv6Zz5Dj3Ca,11/6/2024,Enrolled,1,No,,Customer Rep 2,8/30/2024,24-25 Prime 500,Graduate,
7Uu2Eq1Ut1Bq,11/7/2024,Enrolled,1,No,,Customer Rep 1,8/5/2024,24-25 Supreme,Undergraduate,
1Ld7Yv7Kh5Oj,11/7/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,11/11/2024,24-25 Prime 500,OPT,
3Vm1Tq4Xi4Fr,11/11/2024,Enrolled,1,No,,Customer Rep 1,8/30/2024,24-25 Prime 500,Graduate,
9Qk3Ka5Xb7Qh,11/11/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,11/7/2024,24-25 Prime 500,Undergraduate,
1Lr6Qr3Jd0Hg,11/11/2024,Enrolled,1,No,,Customer Rep 3,11/11/2024,24-25 Prime 500,Graduate,
6Dj3Ps0Ml9Al,11/12/2024,Enrolled,1,Yes,Sales 1,Customer Rep 1,11/12/2024,24-25 Prime 500,Graduate,
7At9Fg8Hv5Jn,11/12/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,11/12/2024,24-25 Prime 500,Graduate,
9Wv8Gz1Xp0Zy,11/13/2024,Enrolled,1,No,,Customer Rep 2,9/1/2024,24-25 Supreme,Undergraduate,
5Tm4An5Jq4Fx,11/13/2024,Enrolled,1,No,,Customer Rep 2,9/4/2024,24-25 Prime 500,J1,
6Ex6Xe6Ue0Sv,11/14/2024,Enrolled,2,Yes,Sales 2,Customer Rep 1,11/22/2024,24-25 Prime 100,OPT,
5Vg4Og7Np6Ri,11/17/2024,Enrolled,1,Yes,,Customer Rep 2,11/18/2024,24-25 Prime 500,Graduate,
5Py4Pu3Hp8Ln,11/17/2024,Enrolled,1,No,,Customer Rep 1,11/18/2024,24-25 Prime 500,Undergraduate,
7Nt0Zv1Dz5Ql,11/18/2024,Enrolled,1,Yes,Sales 1,Customer Rep 1,11/18/2024,24-25 Prime 500,Graduate,
2Is8Ya1Qz6Oc,11/18/2024,Enrolled,4,No,,Customer Rep 3,2/10/2025,24-25 Prime 500,Undergraduate,23-24 Elite
3Aw8Ad1Ue5Ty,11/20/2024,Enrolled,1,Yes,,Customer Rep 1,11/19/2024,24-25 Supreme,Graduate,
5Om3Xu0Qw8Ep,11/20/2024,Enrolled,2,Yes,Sales 1,Customer Rep 1,12/2/2024,24-25 Prime 500,Graduate,
7Sj0Hx2Wb9Ax,11/21/2024,Enrolled,1,Yes,,Customer Rep 1,11/21/2024,24-25 Prime 500,OPT,
6Sj6He3Wv5Bf,11/21/2024,Enrolled,1,Yes,Sales 1,Customer Rep 1,11/21/2024,24-25 Prime 100,OPT,
0Ns6Tq2Gc5Fq,11/21/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,11/21/2024,24-25 Prime 100,Undergraduate,
0Ej2Rv7Bs3Zy,11/21/2024,Enrolled,1,Yes,,Customer Rep 2,11/21/2024,24-25 Prime 500,Graduate,
4Nr5Ho3Rh0Cu,11/22/2024,Expired,3,No,,Customer Rep 1,8/19/2024,23-24 Prime 500,OPT,
1Yw8Pp2Dc9Vl,11/22/2024,Enrolled,6,No,,Customer Rep 1,2/17/2025,24-25 Prime 100,Graduate,23-24 Prime 100
7Ya4Pm5Ip2Wj,11/25/2024,Enrolled,1,Yes,,Customer Rep 1,11/21/2024,24-25 Prime 100,OPT,
8Lf4Aa4Ye9Ia,11/25/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,11/22/2024,24-25 Prime 500,Graduate,
2Dc9Yc1Wr8Kk,11/25/2024,Enrolled,1,No,,Customer Rep 2,11/23/2024,24-25 Prime 500,Graduate,
2Zx1Kk0Ap2Dh,11/25/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,11/24/2024,24-25 Prime 100,OPT,
5Mu4Gx0Wy9Ck,11/25/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,11/24/2024,24-25 Prime 100,OPT,
1Nk6Po4Yo3Rt,11/25/2024,Enrolled,1,Yes,Sales 1,Customer Rep 1,11/24/2024,24-25 Prime 100,Graduate,
9Qa2Kl9Dz7Ep,11/25/2024,Enrolled,1,No,,Customer Rep 1,11/25/2024,24-25 Global Care Plus,Graduate,
0Pz3Jb7Ft0Sa,11/25/2024,Enrolled,1,Yes,,Customer Rep 1,11/25/2024,24-25 Prime 500,Graduate,
4Yy9Mn0Ta5Nx,11/25/2024,Enrolled,1,Yes,Sales 2,Customer Rep 2,11/25/2024,24-25 Prime 500,Graduate,
5Ka7Sc4Fl4Rq,11/25/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,11/25/2024,24-25 Prime 500,Graduate,
1Qx8Wm7Lb1Gf,11/25/2024,Enrolled,2,No,,Customer Rep 2,12/8/2024,24-25 Prime 100,Graduate,
9Yx1Io0Df9Ed,11/25/2024,No Response,6,Yes,Sales 1,Customer Rep 1,,,OPT,
2Tj0We0Bw8Wa,11/26/2024,Enrolled,1,Yes,,Customer Rep 2,11/26/2024,24-25 Prime 500,Undergraduate,
4Hg3Sf8Xz4Bk,11/26/2024,Enrolled,1,Yes,Sales 1,Customer Rep 1,11/26/2024,24-25 Prime 500,OPT,
1Jf7Eb2Et0Xf,11/26/2024,Enrolled,1,No,,Customer Rep 2,11/26/2024,24-25 Prime 500,Graduate,
1Ca2Bk6Gs0Hh,11/26/2024,Enrolled,1,No,,Customer Rep 2,11/27/2024,24-25 Prime 500,Undergraduate,23-24 Prime 500
0Ks5Ih3Fc6Fl,11/27/2024,Enrolled,1,Yes,Sales 1,Customer Rep 2,11/26/2024,24-25 Prime 500,Undergraduate,
7Lm6Pb5Zk9Hq,11/27/2024,Enrolled,1,Yes,,Customer Rep 1,11/27/2024,24-25 Prime 500,Graduate,
4Jb0Ye0Ho4Ia,11/27/2024,Enrolled,1,Yes,,Customer Rep 1,11/27/2024,24-25 Prime 500,OPT,
1Hp7Vl9Cd6Ic,11/27/2024,Enrolled,1,Yes,,Customer Rep 1,11/27/2024,24-25 Prime 500,OPT,
2Kf7Ln5Po0Fi,11/27/2024,Enrolled,1,Yes,,Customer Rep 2,11/28/2024,24-25 Prime 100,OPT,
7Kw4Of2Jh1Xq,11/27/2024,Enrolled,1,Yes,,Customer Rep 1,11/28/2024,24-25 Prime 500,Graduate,
1Pf2Bp6Ot0Cj,11/27/2024,Enrolled,1,No,,Customer Rep 1,11/28/2024,24-25 Prime 500,Graduate,
8Rp6Cy6Lx7Wl,11/27/2024,Enrolled,1,No,,Customer Rep 1,12/1/2024,24-25 Prime 500,OPT,23-24 Prime 500
3Yx1Vw8Hb1Kp,11/27/2024,Connecting,3,No,,Customer Rep 3,,,Undergraduate,
4Bd0Dg5Sq8Px,11/28/2024,Enrolled,1,No,,Customer Rep 1,11/29/2024,24-25 Prime 100,J1,
1Op7Jf3Fh5Qd,11/29/2024,Enrolled,1,Yes,,Customer Rep 1,11/29/2024,24-25 Prime 500,Graduate,
0Uf0Cn0Cj2Qw,12/1/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,12/2/2024,24-25 Prime 500,Graduate,
6Yh9Yq2Tw8Vb,12/2/2024,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,12/1/2024,24-25 Prime 500,J1,
6Ux9Gt1Mc8Kz,12/2/2024,Enrolled,1,Yes,Sales 2,Customer Rep 1,12/2/2024,24-25 Prime 500,OPT,
7Ps9Vs3Yl5Em,12/2/2024,Enrolled,4,Yes,Sales 2,Customer Rep 1,2/28/2025,24-25 Global Care Plus,Graduate,
0Yj0Sj6Hu0Wk,12/3/2024,Enrolled,1,No,,Customer Rep 3,12/4/2024,24-25 Prime 500,Undergraduate,23-24 Supreme
1Fr3Cv8Xi2Ul,12/4/2024,Enrolled,1,No,,Customer Rep 2,12/4/2024,24-25 Elite,Undergraduate,
2Qt9Bb0Bn3Ak,12/6/2024,Connecting,3,No,Sales 2,,,,Graduate,
2Sk6Lx5Yw4Fw,12/6/2024,Connecting,3,No,Sales 1,,,,Undergraduate,
7Il4Qv9Bt8Lx,12/6/2024,Connecting,3,No,Sales 1,,,,Graduate,
5Sd5Ci1Ut6Jv,12/6/2024,Connecting,3,No,Sales 1,,,,OPT,
3Yp7Sr0Ic2Qa,12/6/2024,Connecting,3,No,Sales 1,,,,Undergraduate,
8Hp8Tn6Zg9Hi,12/6/2024,Connecting,3,No,Sales 1,,,,Undergraduate,
2Fo7Ka6Kl6Gg,12/6/2024,Connecting,3,No,Sales 2,,,,Graduate,
0Il5Kq6Oy4Ie,12/6/2024,Connecting,3,No,Sales 1,,,,J1,
9Dd3Kl1Ql1Pf,12/9/2024,Expired,4,No,,Customer Rep 2,2/3/2024,23-24 Prime 100,Undergraduate,
1Pz8Fp2Vl5Co,12/9/2024,Enrolled,1,No,Sales 2,,6/13/2024,24-25 Elite,J1,23-24 Elite
0Qo2Az0Wa3Zc,12/9/2024,Enrolled,1,Yes,Sales 1,,8/26/2024,24-25 Prime 500,Graduate,23-24 Prime 500
7Vw2Lv5Jd3Ij,12/9/2024,Enrolled,1,No,Sales 1,,11/13/2024,24-25 Prime 100,Undergraduate,
2Rk1Ae0Ln9Be,12/9/2024,Connecting,3,No,Sales 1,,,,J1,
1Ur1Im1Jx4Pe,12/9/2024,Connecting,3,No,Sales 1,,,,Graduate,
8Xm3Ff0Al1Ej,12/9/2024,Connecting,3,Yes,Sales 2,,,,Graduate,
7Jv6Ch7Ja7Zc,12/10/2024,Enrolled,1,No,,Customer Rep 1,12/10/2024,24-25 Supreme,Undergraduate,
8Wc8Am1It9Zx,12/13/2024,Enrolled,1,No,,Customer Rep 1,8/17/2024,24-25 Prime 500,Undergraduate,23-24 Elite
1Yl8Jm0Wd7Xs,12/16/2024,Enrolled,1,No,,Customer Rep 2,8/23/2024,24-25 Prime 100,Graduate,
0Oh8Jm1Va3Ro,12/16/2024,Enrolled,1,No,,Customer Rep 2,12/16/2024,24-25 Prime 500,Graduate,
1Uw8Vr7Or2Px,1/8/2025,Enrolled,1,Yes,Sales 1,Customer Rep 1,1/12/2025,24-25 Prime 500,OPT,
2Nu9Ug9Jf5Td,1/9/2025,Enrolled,1,Yes,Sales 1,Customer Rep 1,1/12/2025,24-25 Prime 500,Undergraduate,
7Jc6Eg7Cl0Ib,1/16/2025,Enrolled,1,No,,Customer Rep 3,1/17/2025,24-25 Prime 500,OPT,
6Qj9Eo0Pi5Bf,1/21/2025,Connecting,2,No,Sales 1,,,,Graduate,
7Ec7Vp3Zg3Ik,1/21/2025,Connecting,2,No,Sales 1,,,,J1,
5Gm8Pk2Np5Wo,1/21/2025,Connecting,2,No,Sales 1,,,,Graduate,
6Sc1Ii2Ec7Np,1/21/2025,Connecting,2,No,Sales 2,,,,Undergraduate,
5Kp1Sp6Cw4Rx,1/21/2025,Connecting,2,No,Sales 2,,,,OPT,
6Ro0Ef4Gh6Ml,1/21/2025,Connecting,2,No,Sales 2,,,,Undergraduate,
0Pp1Yi3Wh9Yh,1/21/2025,Connecting,2,No,Sales 1,,,,OPT,
3Uq1Vt4Xp2Qn,1/21/2025,Connecting,2,No,Sales 2,,,,Graduate,
8Xq6Yo3Bo9Kp,1/21/2025,Connecting,2,No,Sales 2,,,,OPT,
9Ur0Wy3Eh3Ep,1/21/2025,Connecting,2,No,Sales 2,,,,Graduate,
6To3Of1Dj3Dw,1/21/2025,Connecting,2,No,Sales 1,,,,Graduate,
2Ho5Wc0No7Ly,2/7/2025,Enrolled,1,No,,Customer Rep 3,8/30/2024,24-25 Prime 500,OPT,
4Ov9Xz5Cr2Vi,2/11/2025,Enrolled,1,Yes,Sales 2,Customer Rep 1,2/11/2025,24-25 Prime 500,OPT,
2St7Go4Fv3Om,2/13/2025,Enrolled,1,Yes,Sales 1,Customer Rep 1,11/28/2024,24-25 Prime 100,Undergraduate,
5Jw4Zq8Hn4Mb,2/19/2025,Enrolled,1,No,,Customer Rep 2,8/16/2024,24-25 Prime 500,Graduate,
5Cj3Hv8Ji0Xn,2/19/2025,Enrolled,1,No,,Customer Rep 2,8/26/2024,24-25 Prime 500,Graduate,
9Ai1Xi3Mj0Ns,2/19/2025,Enrolled,1,No,Sales 2,,2/19/2025,24-25 Prime 500,Graduate,
7Dx5Or6Sw7Er,2/20/2025,Enrolled,1,Yes,Sub-Agent,Customer Rep 2,12/11/2024,24-25 Prime 500,J1,
5Ud4Cf6Vy5Ht,2/20/2025,Enrolled,1,Yes,,Customer Rep 1,2/22/2025,24-25 Prime 500,OPT,
0Ls5Kf4Bx8Bc,2/23/2025,Enrolled,1,Yes,,Customer Rep 1,2/23/2025,24-25 Prime 500,Undergraduate,23-24 Elite
